Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,s1-brdr1,Ethernet2,,spine,s1-spine1,Ethernet7,
l3leaf,s1-brdr1,Ethernet3,,spine,s1-spine2,Ethernet7,
l3leaf,s1-brdr1,Ethernet4,172.16.200.0/31,l3leaf,s2-brdr1,Ethernet4,172.16.200.1/31
l3leaf,s1-brdr1,Ethernet5,172.16.200.2/31,l3leaf,s2-brdr2,Ethernet5,172.16.200.3/31
l3leaf,s1-brdr2,Ethernet2,,spine,s1-spine1,Ethernet8,
l3leaf,s1-brdr2,Ethernet3,,spine,s1-spine2,Ethernet8,
l3leaf,s1-brdr2,Ethernet4,172.16.200.4/31,l3leaf,s2-brdr2,Ethernet4,172.16.200.5/31
l3leaf,s1-brdr2,Ethernet5,172.16.200.6/31,l3leaf,s2-brdr1,Ethernet5,172.16.200.7/31
l3leaf,s1-leaf1,Ethernet2,,spine,s1-spine1,Ethernet2,
l3leaf,s1-leaf1,Ethernet3,,spine,s1-spine2,Ethernet2,
l3leaf,s1-leaf2,Ethernet2,,spine,s1-spine1,Ethernet3,
l3leaf,s1-leaf2,Ethernet3,,spine,s1-spine2,Ethernet3,
l3leaf,s1-leaf3,Ethernet2,,spine,s1-spine1,Ethernet4,
l3leaf,s1-leaf3,Ethernet3,,spine,s1-spine2,Ethernet4,
l3leaf,s1-leaf4,Ethernet2,,spine,s1-spine1,Ethernet5,
l3leaf,s1-leaf4,Ethernet3,,spine,s1-spine2,Ethernet5,
l3leaf,s2-brdr1,Ethernet2,,spine,s2-spine1,Ethernet7,
l3leaf,s2-brdr1,Ethernet3,,spine,s2-spine2,Ethernet7,
l3leaf,s2-brdr2,Ethernet2,,spine,s2-spine1,Ethernet8,
l3leaf,s2-brdr2,Ethernet3,,spine,s2-spine2,Ethernet8,
l3leaf,s2-leaf1,Ethernet2,,spine,s2-spine1,Ethernet2,
l3leaf,s2-leaf1,Ethernet3,,spine,s2-spine2,Ethernet2,
l3leaf,s2-leaf2,Ethernet2,,spine,s2-spine1,Ethernet3,
l3leaf,s2-leaf2,Ethernet3,,spine,s2-spine2,Ethernet3,
l3leaf,s2-leaf3,Ethernet2,,spine,s2-spine1,Ethernet4,
l3leaf,s2-leaf3,Ethernet3,,spine,s2-spine2,Ethernet4,
l3leaf,s2-leaf4,Ethernet2,,spine,s2-spine1,Ethernet5,
l3leaf,s2-leaf4,Ethernet3,,spine,s2-spine2,Ethernet5,
