Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,s1-core1,Ethernet1,l3leaf,s1-core2,Ethernet1,True
l3leaf,s1-core1,Ethernet2,network_port,CORE_LINK1,,True
l3leaf,s1-core1,Ethernet4,l3leaf,s2-core1,Ethernet4,True
l3leaf,s1-core1,Ethernet6,l3leaf,s1-core2,Ethernet6,True
l3leaf,s1-core2,Ethernet1,l3leaf,s1-core1,Ethernet1,True
l3leaf,s1-core2,Ethernet3,network_port,CORE_LINK2,,True
l3leaf,s1-core2,Ethernet4,l3leaf,s2-core2,Ethernet4,True
l3leaf,s1-core2,Ethernet6,l3leaf,s1-core1,Ethernet6,True
l3leaf,s2-core1,Ethernet1,l3leaf,s2-core2,Ethernet1,True
l3leaf,s2-core1,Ethernet2,network_port,CORE_LINK1,,True
l3leaf,s2-core1,Ethernet4,l3leaf,s1-core1,Ethernet4,True
l3leaf,s2-core1,Ethernet6,l3leaf,s2-core2,Ethernet6,True
l3leaf,s2-core2,Ethernet1,l3leaf,s2-core1,Ethernet1,True
l3leaf,s2-core2,Ethernet3,network_port,CORE_LINK2,,True
l3leaf,s2-core2,Ethernet4,l3leaf,s1-core2,Ethernet4,True
l3leaf,s2-core2,Ethernet6,l3leaf,s2-core1,Ethernet6,True
